Partner_ID,Partner_Name,Partner_Type,HQ_Country,Bank_Country,VAT_Number,Personal_Data_Access,DPA_Status,Storage_Region,Ethics_Charter,Last_Update,Account_Status
1,Jabberbean,Raw Material Supplier,US,PL,RL92773631503,true,Missing,US,true,1/2/2024,Inactive
2,Trunyx,Raw Material Supplier,PT,SY,MT97435011741,false,Missing,APAC,true,5/5/2024,Inactive
3,Jaxnation,Influencer Agency,LV,RS,AN87287309835,false,Signed,US,false,2/21/2025,Active
4,Pixonyx,Influencer Agency,BR,ID,ZW09635496470,false,Signed,EU,true,3/2/2024,Active
5,Zoozzy,Influencer Agency,PL,SE,RX87240407999,false,Missing,APAC,false,5/24/2023,Active
6,Wikivu,Retail Tech,ID,SE,RN09815264738,true,Pending,US,true,4/16/2023,Inactive
7,Youspan,Packaging & Glass,ID,AL,RF33888018171,true,Pending,EU,true,1/31/2024,Inactive
8,Podcat,Influencer Agency,TH,SE,FW45714533513,false,Pending,EU,true,2/1/2024,Active
9,Voonte,Retail Tech,YE,FR,MC41140582095,true,Signed,US,true,2/16/2025,Inactive
10,Jabberbean,CRO - Clinical Research,BO,PA,HB15808621591,true,Pending,EU,false,12/31/2024,Inactive
11,Dynazzy,CRO - Clinical Research,MR,CN,RT51248687033,false,,US,false,6/25/2024,Inactive
12,Realcube,CRO - Clinical Research,SE,FR,LJ94048112590,false,Signed,EU,false,7/4/2023,Active
13,Lazzy,Retail Tech,CO,CN,VW38242216871,false,Signed,APAC,true,11/8/2023,Inactive
14,Eire,Raw Material Supplier,CO,SE,IY09295175460,true,Missing,APAC,false,9/8/2025,Inactive
15,Feedbug,Raw Material Supplier,PH,CN,MQ75880161960,true,,EU,true,5/11/2023,Active
16,Oyonder,Retail Tech,ID,CN,BK73136949851,false,Missing,EU,false,9/5/2023,Active
17,Tambee,Retail Tech,CN,US,AC37252111005,true,Missing,APAC,true,5/15/2025,Inactive
18,Ntag,Raw Material Supplier,AF,CN,CM98550020715,true,Missing,US,true,6/30/2023,Active
19,Vinder,Retail Tech,CN,CN,BD30877411450,false,,US,true,9/25/2024,Active
20,Midel,Raw Material Supplier,CN,PK,RN85783673758,false,Pending,US,false,10/1/2023,Inactive
21,Dablist,Packaging & Glass,ID,PL,YI99613249123,true,,US,false,11/1/2024,Active
22,Babbleopia,Raw Material Supplier,SE,RU,RP66919940440,true,Missing,US,false,9/13/2024,Active
23,Agivu,Influencer Agency,ZW,TZ,FE10459306734,false,Signed,EU,true,11/20/2023,Active
24,Devbug,CRO - Clinical Research,PE,CN,YW85428926809,true,Missing,APAC,true,6/17/2025,Active
25,Izio,Retail Tech,ID,MX,WH54851870463,true,Pending,US,false,5/25/2025,Active
26,Zoomzone,Raw Material Supplier,DO,PT,BW73359848339,false,Signed,APAC,false,8/1/2025,Active
27,Yata,Retail Tech,PE,AR,DJ25892923265,false,Signed,EU,false,6/21/2023,Active
28,Jabberstorm,Packaging & Glass,CN,BO,UG98595599786,true,Missing,APAC,true,3/16/2024,Active
29,Cogidoo,Retail Tech,FI,,CJ84686442075,true,Pending,APAC,false,7/16/2024,Active
30,Leexo,Retail Tech,PL,PH,VM94410081641,true,Pending,EU,true,3/28/2025,Active
31,Yakijo,CRO - Clinical Research,ID,AM,HC56082606771,false,Missing,APAC,false,9/4/2025,Active
32,Kwinu,Packaging & Glass,UA,NA,NI67316117375,false,Missing,EU,false,10/18/2024,Inactive
33,Demizz,Raw Material Supplier,TL,GT,AC21208150478,false,,APAC,false,6/13/2025,Inactive
